accid,lighttreatment,lightintensity,curve_type,loggcl,logitfgmax,loglambdamean,loglambdasd,logtaumean,logtausd
LA0107-U,sun,low,amphi,2.9950616685876774,-2.205296982053561,0.22236485733,0.014297138723638367,5.266742043,0.01145033009502153
LA0107-U,sun,high,amphi,2.9950616685876774,-1.3536309602280805,0.3662411844,0.03620466002036721,5.9574826736,0.026649663393203956
LA0107-U,sun,low,pseudohypo,2.892183960987572,-2.574831848091527,0.1973048885,0.011602885393344586,4.8413257226,0.008346822873657591
LA0107-U,sun,high,pseudohypo,2.892183960987572,-1.2904637500217888,0.30785549496,0.04292093997804051,5.9414977057,0.03387842656758655
LA0107-V,shade,low,amphi,2.693635466361842,-2.342396771465946,0.140842137431,0.026264075344363848,5.1940327124,0.026692476425532612
LA0107-V,shade,high,amphi,2.693635466361842,-1.825940387131276,0.2216890789,0.024011409033157738,5.0681040626,0.018734815606940645
LA0107-V,shade,low,pseudohypo,2.6358186535057166,-2.5701395634308675,-0.0399777673271,0.006836926724137857,4.986981851,0.008085010039856705
LA0107-V,shade,high,pseudohypo,2.6358186535057166,-1.918220035301792,0.118631981763,0.01761444219427828,5.0574143736,0.014145066208784385
LA0107-W,sun,low,amphi,2.850076806160348,-2.653310641244727,0.2191889523,0.010184747345842732,5.6357516474,0.008621956605273323
LA0107-W,sun,high,amphi,2.850076806160348,-2.0600344455076294,0.18953175144,0.00913336953533613,5.1994410103,0.006822067368917575
LA0107-W,sun,low,pseudohypo,2.7976550119357704,-2.2953773347233692,0.33517569583,0.011559620870903143,5.3592871731,0.007832138992978351
LA0107-W,sun,high,pseudohypo,2.7976550119357704,-1.7484995856785768,0.124104883886,0.011155140463749241,5.1931469541,0.008696752177830863
LA0107-X,sun,low,amphi,2.732287706828193,-2.914666458168684,0.0599388110245,0.015244273122909668,5.0084854179,0.012357152871214819
LA0107-X,sun,high,amphi,2.732287706828193,-2.1741665974632376,0.36614197919,0.007553984767865405,5.2141872618,0.004387427775369614
LA0107-X,sun,low,pseudohypo,2.7043570330630677,-2.363673681139651,-0.059740150776,0.014973869714406424,5.1012952198,0.01807950258786763
LA0107-X,sun,high,pseudohypo,2.7043570330630677,-1.7212027034434039,0.26541406264,0.00929229105948793,5.1065460769,0.005982332160207372
LA0407-E,sun,low,amphi,3.0638372975513595,-3.1497453997627627,0.113809994016,0.00515248215999596,4.3995325713,0.0035873170977188383
LA0407-E,sun,high,amphi,3.0638372975513595,-2.3028835699547163,0.086100409177,0.006442869036083244,4.5676525065,0.004861846171919376
