accession,light_treatment,leaf_type,light_intensity,n_plant,trait,estimate,lowerCI,upperCI
LA1358,shade,amphi,high,8,fgmax,0.10562620342467491,0.09182978042157387,0.12152717512260064
LA1358,shade,amphi,low,9,fgmax,0.06524883286928994,0.05428917024149774,0.07847171355576031
LA1358,shade,pseudohypo,high,8,fgmax,0.0771966428342466,0.0674949167734076,0.08620783285959491
LA1358,shade,pseudohypo,low,9,fgmax,0.04739061723756922,0.040025813600420866,0.056453606326429526
LA1358,sun,amphi,high,10,fgmax,0.10393652237148603,0.09070421644269538,0.11900561408482646
LA1358,sun,amphi,low,8,fgmax,0.047516917189047964,0.039159341425182306,0.05714860455070061
LA1358,sun,pseudohypo,high,10,fgmax,0.060051149695647156,0.05343279903124428,0.06785711205019762
LA1358,sun,pseudohypo,low,8,fgmax,0.028827125974809985,0.024348499634619294,0.03406397177563775
LA1360,shade,amphi,high,10,fgmax,0.14279183544015844,0.12599250706966555,0.16374561710434138
LA1360,shade,amphi,low,10,fgmax,0.0804774759156215,0.06715411005582275,0.09619116436945342
LA1360,shade,pseudohypo,high,10,fgmax,0.09139984768404072,0.082248061541408,0.10305183388851905
LA1360,shade,pseudohypo,low,10,fgmax,0.050969049904108756,0.043028944890727526,0.06078656723830161
LA1360,sun,amphi,high,10,fgmax,0.14028841576328088,0.12362734423894473,0.16035246745319107
LA1360,sun,amphi,low,9,fgmax,0.058523130776768253,0.04888152365581352,0.0702804513159416
LA1360,sun,pseudohypo,high,10,fgmax,0.07159914080626763,0.0645651073189683,0.08032890392843887
LA1360,sun,pseudohypo,low,9,fgmax,0.03099770978900872,0.02640546658768727,0.03716304201373509
LA1364,shade,amphi,high,10,fgmax,0.13516241271350238,0.11771606777232536,0.15564861343621045
LA1364,shade,amphi,low,10,fgmax,0.07251538755527215,0.06032420214447609,0.08745111859475417
LA1364,shade,pseudohypo,high,10,fgmax,0.07965426617828973,0.07084961453067355,0.08975871650605066
LA1364,shade,pseudohypo,low,10,fgmax,0.038872828949517026,0.03265508567466895,0.04620269930666581
LA1364,sun,amphi,high,8,fgmax,0.13268769846995276,0.11647863922263316,0.15398846975381647
LA1364,sun,amphi,low,6,fgmax,0.05279440883782585,0.04372329605147693,0.06365490580458012
LA1364,sun,pseudohypo,high,8,fgmax,0.062319401943981854,0.05527617249681546,0.07033325552179369
LA1364,sun,pseudohypo,low,7,fgmax,0.023779785451137594,0.019760648784059923,0.028463561474431708
LA1589,shade,amphi,high,10,fgmax,0.13496750907887964,0.12159394963245547,0.1492218148155389
LA1589,shade,amphi,low,10,fgmax,0.07254783003670061,0.06358077603039286,0.08276927924899974
LA1589,shade,pseudohypo,high,10,fgmax,0.07987764948047309,0.07295651217337362,0.08861425719452486
LA1589,shade,pseudohypo,low,10,fgmax,0.044266287396268415,0.0389449426188775,0.05093216306267255
LA1589,sun,amphi,high,9,fgmax,0.13263351513627092,0.11974072980374566,0.146890199644036
