accession,lighttreatment,lightintensity,leaftype,n_plant,trait,estimate,lowerCI,upperCI
LA0716,shade,high,amphi,9,lambda,1.2291791310550544,1.1813431459660377,1.2787099179498846
LA0716,shade,high,amphi,9,gcl,21.314778815026564,20.861821451693572,21.76750003982073
LA0716,shade,high,amphi,9,fgmax,0.14514902251720277,0.12519575382134593,0.16683333574127848
LA0716,shade,low,pseudohypo,10,tau,195.1309846028027,175.64648298901767,215.60633512699752
LA0716,shade,low,pseudohypo,10,lambda,1.0896833995566984,1.0476155674448466,1.1332327772948307
LA0716,shade,low,pseudohypo,10,gcl,20.065892466525487,19.6463542209136,20.5098936408655
LA0716,shade,low,pseudohypo,10,fgmax,0.08246034549833643,0.07011426944077924,0.09594873599868883
LA0716,shade,high,pseudohypo,9,tau,269.9121985159874,243.2852303870168,298.3015832905937
LA0716,shade,high,pseudohypo,9,lambda,1.2042972737426696,1.1573955468142703,1.2525155766137506
LA0716,shade,high,pseudohypo,9,gcl,20.065892466525487,19.6463542209136,20.5098936408655
LA0716,shade,high,pseudohypo,9,fgmax,0.1731277001531617,0.14982381909396317,0.19807243194079735
LA0716,sun,low,amphi,9,tau,192.72273306352858,174.15782809826308,213.13947101650908
LA0716,sun,low,amphi,9,lambda,1.2110074874742125,1.164669005660118,1.2593183482595325
LA0716,sun,low,amphi,9,gcl,23.884265366214716,23.372356713672403,24.401042057821677
LA0716,sun,low,amphi,9,fgmax,0.0521893898907532,0.044205077768274655,0.061286387545455005
LA0716,sun,high,amphi,10,tau,266.59130564173233,240.8945458005272,294.5992823703659
LA0716,sun,high,amphi,10,lambda,1.3387506447612125,1.2871981529908534,1.3916999556780019
LA0716,sun,high,amphi,10,gcl,23.884265366214716,23.372356713672403,24.401042057821677
LA0716,sun,high,amphi,10,fgmax,0.11365645987445593,0.09720069955386504,0.13203322930220665
LA0716,sun,low,pseudohypo,9,tau,195.18164267091967,176.35640402426426,215.94865996426373
LA0716,sun,low,pseudohypo,9,lambda,1.186238868364285,1.1399095893102462,1.2342009658217086
LA0716,sun,low,pseudohypo,9,gcl,22.48585738462597,22.01784179837686,22.978226541421556
LA0716,sun,low,pseudohypo,9,fgmax,0.06357323515724084,0.054039307512370904,0.07440069684363354
LA0716,sun,high,pseudohypo,10,tau,269.99599970161375,243.81598545834538,298.21674772497516
LA0716,sun,high,pseudohypo,10,lambda,1.3117579890347335,1.2612384700685515,1.3644121263964692
LA0716,sun,high,pseudohypo,10,gcl,22.48585738462597,22.01784179837686,22.978226541421556
LA0716,sun,high,pseudohypo,10,fgmax,0.13653212703146278,0.11725806139642084,0.15787831178625625
LA0750,shade,low,amphi,10,tau,182.2217478983963,165.1815540966054,200.87948149312584
LA0750,shade,low,amphi,10,lambda,1.1184476523351172,1.0775413351179615,1.1630549571040845
LA0750,shade,low,amphi,10,gcl,21.319131104100624,20.861052148139525,21.78167682714371
LA0750,shade,low,amphi,10,fgmax,0.0707051640606822,0.06060932446023097,0.08254887622205123
LA0750,shade,high,amphi,9,tau,252.1114119145431,227.73590113531552,277.78692718336043
LA0750,shade,high,amphi,9,lambda,1.2363474516751014,1.192582667946332,1.286473733092856
LA0750,shade,high,amphi,9,gcl,21.319131104100624,20.861052148139525,21.78167682714371
LA0750,shade,high,amphi,9,fgmax,0.15067627639630576,0.1309284848568921,0.17328563300553498
LA0750,shade,low,pseudohypo,10,tau,184.71006029642754,166.75690282891384,203.87675557818963
LA0750,shade,low,pseudohypo,10,lambda,1.0955644673707432,1.0560833921766581,1.1390317983568445
LA0750,shade,low,pseudohypo,10,gcl,20.07349401929397,19.652111989743737,20.505879857791616
LA0750,shade,low,pseudohypo,10,fgmax,0.0858011123333652,0.07376746601386246,0.09964265160939444
LA0750,shade,high,pseudohypo,9,tau,255.3530398211296,230.60856613123187,282.10871493388225
LA0750,shade,high,pseudohypo,9,lambda,1.2109097253960912,1.1679423742804442,1.2594866766134392
LA0750,shade,high,pseudohypo,9,gcl,20.07349401929397,19.652111989743737,20.505879857791616
LA0750,shade,high,pseudohypo,9,fgmax,0.1793328356073215,0.15671652782678158,0.20546780238402682
LA0750,sun,high,amphi,11,tau,252.37223647005442,228.88638900323562,277.8269008951549
LA0750,sun,high,amphi,11,lambda,1.3464775438207326,1.2971347225940046,1.40041889581238
LA0750,sun,high,amphi,11,gcl,23.891207178158158,23.36593658721649,24.410527368432636
LA0750,sun,high,amphi,11,fgmax,0.11835137456201021,0.10212430994217837,0.135619060871836
