accession,id,lighttreatment,lightintensity,leaftype,loggcl,logitfgmax,loglambdamean,loglambdasd,logtaumean,logtausd,initial_RH,median_RH,final_RH,initial_VPD,median_VPD,final_VPD
LA1589,G,shade,low,pseudohypo,2.838932283647367,-3.148253080363755,0.090469011149,0.011076966664280426,3.7610652006,0.00849799083540681,0.10880968759657988,0.07880316336236441,0.07248954701341914,2.8074107382276634,2.9082412831611095,2.932786747497694
LA1589,G,shade,high,pseudohypo,2.838932283647367,-2.117874938713536,0.1713481911,0.01765782100040046,4.0668832084,0.010495199218376113,0.21296292221629742,0.15568013516073512,0.1435044894932092,2.4597625320549628,2.6536329280062096,2.6915914616061385
LA1589,I,sun,low,amphi,3.0532328202516865,-2.157623042032729,0.20546090604,0.02130526292629648,4.293013993,0.012628788510469773,0.2253830364719635,0.1258898193457831,0.08440358896142601,2.4326109143857053,2.7612410668156926,2.8979211628370907
LA1589,I,sun,high,amphi,3.0532328202516865,-1.5855238697502956,0.34128829462,0.012005495089535414,4.9244964209,0.006735315472450171,0.300921056225979,0.2103658209722794,0.14010218668671717,2.1432711357733782,2.459002088378675,2.7010615789017156
LA1589,I,sun,low,pseudohypo,3.0361466328005715,-2.164747490576206,-0.139061438284,0.03542005165612921,4.3327589899,0.02887574374555132,0.16780670275566625,0.10105295971328536,0.07789083753328951,2.6162350225169986,2.8302058496776352,2.913790727753918
LA1589,I,sun,high,pseudohypo,3.0361466328005715,-1.5053128318864,0.24574068656,0.01699294917472072,4.8137593174,0.009651433169046642,0.24318495540483256,0.16677577592749315,0.10883665932506713,2.3324084676928987,2.602512949174724,2.8026777974372767
LA1589,J,shade,low,amphi,2.8713306031503634,-3.0346477066389212,0.094423237554,0.01021468189829914,4.121658654,0.007497014838537627,0.09481746020163737,0.0778921714736664,0.07369941971738114,2.8755379664710783,2.92600913547797,2.941397371505881
LA1589,J,shade,high,amphi,2.8713306031503634,-2.462234703502293,0.14091797535199999,0.027991897931211474,4.2585915135,0.018674501113159454,0.14186700028648558,0.10044542581496468,0.08792327886174552,2.7188859958520473,2.850168253440784,2.8916420942683243
LA1589,J,shade,low,pseudohypo,2.876250347620331,-2.6700529608413346,0.123935178715,0.010786068537839102,4.0713855594,0.006961399272185057,0.12210787187471811,0.09944808911525117,0.09623039165990761,2.776649244969094,2.8495672375158234,2.858532253549689
LA1589,J,shade,high,pseudohypo,2.876250347620331,-1.5780683359331715,0.19725886054,0.0267088160662525,4.4397531815,0.016317833048457905,0.23067490283182276,0.16624140757193945,0.13832825078880398,2.4271970347873064,2.6318214798978596,2.725602840792618
LA1589,K,sun,high,amphi,2.8867956634176393,-2.2298984066350562,0.3264075651,0.014481293782386192,5.1007555008,0.008798281436589579,0.31737787233033576,0.20888001409791415,0.13199534685969008,2.0832305772368898,2.460435598311001,2.7275795736314397
LA1589,K,sun,high,pseudohypo,2.8037178262683993,-1.908556873009342,0.084104678325,0.006177990247434108,5.1543814215,0.005143276894076071,0.2863021427681339,0.2013916832785893,0.13537431717866616,2.175656592368215,2.491764500061031,2.7206791938207786
LA1589,L,sun,low,amphi,2.908006416389534,-2.6675025024972427,0.48221161843,0.012329207478599367,4.9090705525,0.005917701104357523,0.210392139702702,0.14194174467891485,0.13058987150010057,2.44160484327263,2.6997871532817013,2.732386628591391
LA1589,L,sun,high,amphi,2.908006416389534,-1.895773874716093,0.20535077857,0.007882096033730102,4.7674194417,0.004998373353895851,0.32040453914819794,0.2383632234360037,0.19146742168467928,2.044903804191441,2.3568809467703957,2.5264485403145396
LA1589,L,sun,low,pseudohypo,2.809030034043244,-2.1857121275728715,0.098563095628,0.01120547810555738,4.7167548722,0.008827028474322127,0.17287576022654225,0.13021236677297593,0.10517140645598691,2.595934491946985,2.743397657298592,2.8208309421098017
LA1589,L,sun,high,pseudohypo,2.809030034043244,-1.2385301976315999,0.27245554515,0.016136480713937088,4.8258810263,0.010508312227935458,0.2816003973181072,0.20974843826127917,0.16517469167923451,2.2007744051047036,2.454350487366881,2.6130225245933
